タイムスタンプ,student_id,video_id,clear,interesting,like
2025/12/15 11:51:47,7,A,3,3,4
2025/12/15 11:51:47,7,B,1,4,3
2025/12/15 11:51:47,7,C,4,5,5
2025/12/15 11:51:47,7,D,1,5,3
2025/12/15 11:51:47,7,E,1,1,1
2025/12/15 11:51:49,4,A,4,3,2
2025/12/15 11:51:49,4,B,4,4,4
2025/12/15 11:51:49,4,C,5,5,5
2025/12/15 11:51:49,4,D,3,3,2
2025/12/15 11:51:49,4,E,4,4,3
2025/12/15 11:51:49,5,A,3,2,3
2025/12/15 11:51:49,5,B,3,2,3
2025/12/15 11:51:49,5,C,5,3,4
2025/12/15 11:51:49,5,D,3,2,3
2025/12/15 11:51:49,5,E,4,2,3
2025/12/15 11:51:49,6,A,1,1,1
2025/12/15 11:51:49,6,B,4,1,4
2025/12/15 11:51:49,6,C,5,5,5
2025/12/15 11:51:49,6,D,1,1,1
2025/12/15 11:51:49,6,E,1,1,1
2025/12/15 11:51:50,9,A,2,2,3
2025/12/15 11:51:50,9,B,2,2,3
2025/12/15 11:51:50,9,C,4,2,4
2025/12/15 11:51:50,9,D,2,2,2
2025/12/15 11:51:50,9,E,4,4,4
2025/12/15 11:51:50,11,A,3,2,2
2025/12/15 11:51:50,11,B,4,4,4
2025/12/15 11:51:50,11,C,4,5,5
2025/12/15 11:51:50,11,D,2,4,2
2025/12/15 11:51:50,11,E,5,5,5
2025/12/15 11:51:50,17,A,5,2,4
2025/12/15 11:51:50,17,B,5,2,4
2025/12/15 11:51:50,17,C,4,5,5
2025/12/15 11:51:50,17,D,4,1,2
2025/12/15 11:51:50,17,E,2,4,3
2025/12/15 11:51:50,22,A,4,1,1
2025/12/15 11:51:50,22,B,4,1,1
2025/12/15 11:51:50,22,C,4,4,5
2025/12/15 11:51:50,22,D,1,1,1
2025/12/15 11:51:50,22,E,5,5,5
2025/12/15 11:51:50,32,A,4,2,2
2025/12/15 11:51:50,32,B,4,2,3
2025/12/15 11:51:50,32,C,4,4,4
2025/12/15 11:51:50,32,D,4,2,2
2025/12/15 11:51:50,32,E,4,5,4
2025/12/15 11:51:50,33,A,4,3,2
2025/12/15 11:51:50,33,B,4,4,4
2025/12/15 11:51:50,33,C,4,5,4
2025/12/15 11:51:50,33,D,2,2,1
2025/12/15 11:51:50,33,E,4,2,3
2025/12/15 11:51:50,36,A,4,2,2
2025/12/15 11:51:50,36,B,4,4,4
2025/12/15 11:51:50,36,C,2,2,4
2025/12/15 11:51:50,36,D,2,2,4
2025/12/15 11:51:50,36,E,4,4,4
2025/12/15 11:51:50,39,A,3,3,3
2025/12/15 11:51:50,39,B,4,3,3
2025/12/15 11:51:50,39,C,4,4,4
2025/12/15 11:51:50,39,D,3,3,3
2025/12/15 11:51:50,39,E,3,3,3
2025/12/15 11:51:51,24,A,4,2,3
2025/12/15 11:51:51,24,B,4,2,4
2025/12/15 11:51:51,24,C,2,4,4
2025/12/15 11:51:51,24,D,2,3,2
2025/12/15 11:51:51,24,E,3,4,4
